nombre_punto_digital,eje,eje_id,hasta_11,hasta_11_femenino,hasta_11_masculino,hasta_11_x,de_12_a_20,de_12_a_20_femenino,de_12_a_20_masculino,de_12_a_20_x,de_21_a_65,de_21_a_65_femenino,de_21_a_65_masculino,de_21_a_65_x,desde_65,desde_65_femenino,desde_65_masculino,desde_65_x,Totales,provincia,categoria,subcategoria,cantidad_actividad
"Berisso I","Alfabetización Digital",10,0,"","","",10,"","","",12,"","","",0,"","","",22,"Buenos Aires","Alfabetización Digital","Alfabetización Digital Inicial",1
"Berisso I","Salud",19,0,"","","",30,"","","",20,"","","",0,"","","",50,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Berisso I","Trámites",22,0,"","","",0,"","","",30,"","","",0,"","","",30,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Berisso I","Generos y Diversidades",28,0,"","","",0,"","","",0,"","","",0,"","","",0,"Buenos Aires","Educación Sexual Integral (ESI)","",1
"Coronel Suárez I (Colonia Santa María)","Alfabetización Digital",10,0,"","","",0,"","","",7,"","","",6,"","","",13,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
"Coronel Suárez I (Colonia Santa María)","Educación",16,0,"","","",0,"","","",4,"","","",0,"","","",4,"Buenos Aires","Complementos de la educación formal","Apoyo escolar",1
"Coronel Suárez I (Colonia Santa María)","Trámites",22,0,"","","",1,"","","",75,"","","",23,"","","",99,"Buenos Aires","Trámites Nacionales","ANSES",2
"Coronel Suárez I (Colonia Santa María)","Cultura y Entretenimiento",31,13,"","","",30,"","","",6,"","","",6,"","","",55,"Buenos Aires","Uso Libre","Navegación libre",1
"Coronel Suarez II (CTC)","Educación",16,0,"","","",34,"","","",27,"","","",0,"","","",61,"Buenos Aires","Complementos de la educación formal","Otros",1
"Coronel Suarez II (CTC)","Trámites",22,0,"","","",42,"","","",48,"","","",24,"","","",114,"Buenos Aires","Trámites Nacionales","Validación de identidad",2
"Coronel Suarez II (CTC)","Ciudadanía y DD",25,0,"","","",0,"","","",26,"","","",2,"","","",28,"Buenos Aires","Comunidad","Otros",1
"Coronel Suarez II (CTC)","Cultura y Entretenimiento",31,0,"","","",61,"","","",102,"","","",86,"","","",249,"Buenos Aires","Artes","Otros",2
"Dolores (CAJ)","Alfabetización Digital",10,0,"","","",0,"","","",2,"","","",1,"","","",3,"Buenos Aires","Tecnologías de la vida cotidiana","Uso del celular",1
"Dolores (CAJ)","Cultura y Entretenimiento",31,3,"","","",11,"","","",3,"","","",0,"","","",17,"Buenos Aires","Artes digitales","Edición de videos",3
"General La Madrid","Cultura y Entretenimiento",31,0,"","","",0,"","","",36,"","","",0,"","","",36,"Buenos Aires","Artes","Otros",1
"General Las Heras","Educación",16,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Complementos de la educación formal","FINES",1
"General Las Heras","Trámites",22,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"General Rodríguez","Trámites",22,15,"","","",15,"","","",95,"","","",55,"","","",180,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"La Matanza II (Villa Palito)","Educación",16,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Complementos de la educación formal","FINES",1
"La Matanza II (Villa Palito)","Trámites",22,0,"","","",1,"","","",30,"","","",1,"","","",32,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Trámites",22,0,"","","",3,"","","",15,"","","",2,"","","",20,"Buenos Aires","Trámites Nacionales","Validación de identidad",1
"Lanús I (Pupi)","Cultura y Entretenimiento",31,30,"","","",73,"","","",11,"","","",0,"","","",114,"Buenos Aires","Uso Libre","Navegación libre",1
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",0,"","","",1,"","","",0,"","","",1,"Buenos Aires","Complementos de la educación formal","FINES",1
"Mar del Plata I (Polideportivo Las Heras)","Educación",16,0,"","","",0,"","","",27,"","","",0,"","","",27,"Buenos Aires","Complementos de la educación formal","Terminá la Secundaria",1
"Mar del Plata I (Polideportivo Las Heras)","Salud",19,120,"","","",0,"","","",90,"","","",0,"","","",210,"Buenos Aires","Salud","Gestión y prevención COVID",1
"Mar del Plata I (Polideportivo Las Heras)","Trámites",22,0,"","","",10,"","","",60,"","","",10,"","","",80,"Buenos Aires","Trámites Nacionales","Validación de identidad",4
"Mar del Plata I (Polideportivo Las Heras)","Cultura y Entretenimiento",31,0,"","","",60,"","","",150,"","","",0,"","","",210,"Buenos Aires","Uso Libre","Uso libre de la consola de videojuegos",2
"Marcos Paz I (CIC)","Educación",16,0,"","","",0,"","","",2,"","","",0,"","","",2,"Buenos Aires","Complementos de la educación formal","FINES",1
